ID,Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
757664-7,5,0.051785714,0,0,0,0.005357143,0,0.27142857,0.001785714,0,0,0.001785714,0.021428571,0,0.044642857,0.051785714,0,0,0.008928571,0,0
757664-8,5,0.058519793,0,0,0,0,0,0.28743546,0,0,0,0,0,0,0.020654045,0.10671256,0,0,0,0,0
757664-9,5,0.065878378,0.001689189,0,0,0,0.006756757,0.24324324,0.008445946,0,0.001689189,0,0,0,0.023648649,0.1097973,0.003378378,0,0,0,0.001689189
757664-10,5,0.073943662,0.001760563,0,0,0,0.007042254,0.27992958,0,0,0.001760563,0,0.031690141,0.01584507,0.029929577,0.054577465,0,0,0,0,0
757664-11,5,0.043551089,0.001675042,0,0,0.005025126,0,0.35343384,0,0.020100503,0.003350084,0.010050251,0.005025126,0,0.001675042,0.028475712,0.011725293,0,0,0,0
757664-12,5,0.052631579,0.00228833,0.006864989,0.006864989,0.018306636,0,0.15102975,0.020594966,0,0.018306636,0.020594966,0,0,0.070938215,0.027459954,0.050343249,0,0.013729977,0.004576659,0
757665-1,5,0.11551724,0,0,0.015517241,0.24137931,0,0,0,0,0,0,0.015517241,0.022413793,0.022413793,0.006896552,0.022413793,0.013793103,0,0.001724138,0
757665-2,5,0.11255411,0.004329004,0,0,0.27272727,0.004329004,0.001443001,0,0,0,0,0,0,0,0.027417027,0.012987013,0.008658009,0.018759019,0,0
757665-3,5,0.086538462,0,0,0,0.29567308,0,0,0.004807692,0.007211539,0,0.016826923,0,0,0,0,0.060096154,0.002403846,0,0,0.021634615
757665-4,5,0.085148515,0.001980198,0,0.003960396,0.32079208,0,0,0,0,0,0,0.013861386,0,0,0.003960396,0.037623762,0.011881188,0,0,0.003960396
757665-5,5,0.098984772,0.012690355,0.002538071,0,0.33248731,0,0,0,0,0,0,0,0,0.035532995,0,0.043147208,0,0,0,0
757665-6,5,0.057784912,0,0,0.003210273,0.31300161,0.001605136,0,0,0,0,0,0.001605136,0,0,0.019261637,0.028892456,0.011235955,0,0.001605136,0
757665-7,5,0.12831858,0,0.002949853,0,0.31120944,0,0,0.004424779,0.002949853,0.001474926,0.002949853,0.002949853,0.008849558,0,0,0.005899705,0,0,0.002949853,0.007374631
757665-8,5,0.083333333,0,0.030864198,0.018518519,0.14814815,0,0,0.030864198,0,0,0.00308642,0,0.033950617,0.040123457,0,0.10802469,0,0.00308642,0,0
757665-9,5,0.14507772,0.015544041,0,0,0.20725389,0,0,0,0.020725389,0.015544041,0.046632124,0.041450777,0,0,0.005181347,0,0.015544041,0.015544041,0,0
777525-1,6,0.096551724,0.35344828,0,0.001724138,0.013793103,0,0.001724138,0,0.012068966,0,0,0,0,0,0,0,0,0.003448276,0,0.018965517
777525-2,6,0.049079755,0.29856851,0.020449898,0,0.00204499,0,0.016359918,0,0.006134969,0,0.044989775,0,0,0,0.010224949,0,0,0.040899796,0,0
777525-3,6,0.11642412,0.27650728,0.006237006,0,0.020790021,0,0.002079002,0,0,0,0,0.01039501,0,0,0.006237006,0,0.008316008,0.01039501,0,0.016632017
777525-4,6,0.10824742,0.30154639,0.012886598,0.00257732,0,0,0,0,0,0,0.007731959,0,0.030927835,0,0,0,0,0,0,0
777525-5,6,0.065277778,0.24722222,0,0.002777778,0.020833333,0,0.018055556,0.008333333,0.026388889,0,0.006944444,0.011111111,0,0,0,0,0,0.019444444,0,0.019444444
777525-6,6,0.059149723,0.22550832,0,0,0.055452865,0,0,0.022181146,0,0.009242144,0,0,0,0,0.01663586,0,0.007393715,0.027726433,0,0
777525-7,6,0.093425606,0.30276817,0.001730104,0.008650519,0.003460208,0,0,0,0.01384083,0,0,0,0.006920415,0.015570934,0,0,0,0,0,0.025951557
777525-8,6,0.092511013,0.29955947,0,0.004405286,0,0,0.008810573,0.002202643,0.00660793,0.004405286,0.004405286,0,0.015418502,0.015418502,0.002202643,0.035242291,0,0,0,0
777525-9,6,0.079566004,0.33092224,0,0,0.012658228,0,0,0,0,0.007233273,0.007233273,0,0,0,0.007233273,0.005424955,0.023508137,0.018083183,0,0.001808318
777525-10,6,0.11620295,0.31423895,0.021276596,0,0,0,0,0,0,0.004909984,0.009819967,0,0,0.004909984,0.001636661,0.006546645,0,0.008183306,0.001636661,0
777525-11,6,0.06462585,0.31122449,0.003401361,0,0,0,0,0.005102041,0.035714286,0,0,0,0,0,0,0.008503401,0,0.008503401,0,0.010204082
777525-12,6,0.079497908,0.23570432,0,0.0027894,0.016736402,0.005578801,0,0.0013947,0,0.0027894,0,0,0,0.020920502,0.026499303,0.023709902,0,0,0,0.005578801
777525-13,6,0.096311475,0.35655738,0,0,0,0,0,0,0.00204918,0,0.00204918,0,0,0,0,0,0.022540984,0,0,0.00204918
777525-14,6,0.072268908,0.35294118,0.01512605,0,0.013445378,0,0,0,0.010084034,0,0,0,0,0,0,0.006722689,0,0,0.011764706,0
777525-15,6,0.062992126,0.29606299,0.02519685,0,0.007874016,0,0,0.001574803,0,0,0.007874016,0,0.009448819,0,0,0,0,0.045669291,0.006299213,0
