ID,Date stamp,Date,0,1,2,3,4,5,6,7,8,9
757664-9,5,1/1/20,0.003378378,0,0.010135135,0.092905405,0.14864865,0,0.13513514,0.055743243,0,0.02027027
757664-10,5,1/1/20,0,0,0.028169014,0.12676056,0.13556338,0,0.11443662,0.052816901,0,0.038732394
757664-11,5,1/1/20,0.003350084,0,0,0.11055276,0.16247906,0,0.05360134,0.082077052,0,0.072026801
757664-12,5,1/1/20,0,0,0.032036613,0.086956522,0.17620137,0,0.057208238,0.038901602,0.025171625,0.04805492
757665-1,5,1/1/20,0.001724138,0.20172414,0,0.005172414,0,0.024137931,0.010344828,0.21206897,0.020689655,0.001724138
757665-2,5,1/1/20,0.001443001,0.26406926,0.017316017,0,0,0,0.011544012,0.15295815,0,0.015873016
757665-3,5,1/1/20,0,0.25961538,0,0,0,0.014423077,0,0.16826923,0.036057692,0.016826923
757665-4,5,1/1/20,0,0.25544554,0,0,0,0.031683168,0,0.19405941,0,0.001980198
757665-5,5,1/1/20,0,0.27918782,0.010152284,0,0.005076142,0.020304569,0,0.20812183,0.002538071,0
757665-6,5,1/1/20,0,0.2776886,0.008025682,0,0,0.032102729,0.014446228,0.10433387,0.001605136,0
757665-7,5,1/1/20,0,0.25811209,0.013274336,0,0,0.029498525,0,0.17551622,0.002949853,0.002949853
757665-8,5,1/1/20,0,0.16975309,0.033950617,0.00308642,0.00308642,0.046296296,0.033950617,0.19135802,0.018518519,0
757665-9,5,1/1/20,0,0.1761658,0,0,0,0.015544041,0,0.29015544,0.005181347,0.041450777
777525-1,6,7/1/20,0.00862069,0,0,0,0,0.36896552,0.012068966,0.086206897,0.022413793,0.003448276
777525-2,6,7/1/20,0.018404908,0.016359918,0.040899796,0,0.00408998,0.31083845,0.020449898,0.036809816,0.022494888,0.018404908
777525-3,6,7/1/20,0.020790021,0.01039501,0.020790021,0.002079002,0,0.27442827,0,0.13097713,0.014553015,0
777525-4,6,7/1/20,0.015463918,0,0.028350515,0,0,0.29381443,0,0.12371134,0,0.00257732
777525-5,6,7/1/20,0,0.041666667,0.013888889,0.011111111,0,0.27638889,0.013888889,0.059722222,0.029166667,0
777525-6,6,7/1/20,0.018484288,0.035120148,0.035120148,0,0,0.25693161,0.024029575,0.053604436,0,0
777525-7,6,7/1/20,0,0,0,0.010380623,0,0.31487889,0,0.083044983,0.044982699,0.019031142
777525-8,6,7/1/20,0,0,0,0,0,0.30176211,0.011013216,0.16740088,0,0.011013216
777525-9,6,7/1/20,0.019891501,0,0.04159132,0,0,0.35081374,0.005424955,0.065099458,0,0.01084991
